,perid,tournament_perid,datetime,fmt,box,forfeit,loser,loser_score,winner,winner_score,date
3534,esports:match:4f09ff41-8434-497a-86e5-dd5d7f25338c,esports:tournament:de25cc57-b59e-4b0d-9771-aea5d46d145b,2021-01-08 20:30:00+00:00,bestof,1,False,Gamefist,0.0,The Dice,1.0,2021-01-08
3532,esports:match:b130fcae-7b61-495f-a99d-22ce148bf3f6,esports:tournament:87989628-253f-44f1-be91-2fca84dbfea4,2021-01-08 20:00:00+00:00,bestof,3,False,Entropy Gaming,1.0,Plan B Esports,2.0,2021-01-08
3530,esports:match:5b38d893-4a87-4553-8738-a83f474a3ef1,esports:tournament:de25cc57-b59e-4b0d-9771-aea5d46d145b,2021-01-08 19:00:00+00:00,bestof,1,False,Apologis Esport,0.0,Lowlandlions,1.0,2021-01-08
3528,esports:match:307b7266-41f9-44fd-ac39-7d00e7e1a58d,esports:tournament:de25cc57-b59e-4b0d-9771-aea5d46d145b,2021-01-08 17:30:00+00:00,bestof,1,False,Exalty,0.0,Gamefist,1.0,2021-01-08
3527,esports:match:676911c8-b643-45a1-b433-cebd4c412632,esports:tournament:87989628-253f-44f1-be91-2fca84dbfea4,2021-01-08 17:00:00+00:00,bestof,3,False,Cowana Gaming,1.0,eSport Rhein-Neckar,2.0,2021-01-08
3525,esports:match:e69b6698-006f-46d3-9550-7d1b64ff5806,esports:tournament:de25cc57-b59e-4b0d-9771-aea5d46d145b,2021-01-08 16:00:00+00:00,bestof,3,False,Maestro,0.0,Lowlandlions,1.0,2021-01-08
3524,esports:match:14b0a691-af30-4160-a141-d872026cbe27,esports:tournament:de25cc57-b59e-4b0d-9771-aea5d46d145b,2021-01-08 14:30:00+00:00,bestof,1,False,Clutch Rayn Esport,0.0,The Dice,1.0,2021-01-08
3521,esports:match:4334555f-9079-4d0c-a62a-9d1ca7340ac4,esports:tournament:de25cc57-b59e-4b0d-9771-aea5d46d145b,2021-01-08 13:00:00+00:00,bestof,1,False,Ubiteam,0.0,Apologis Esport,1.0,2021-01-08
3549,esports:match:1fd90514-00de-4047-93a9-87584cea3b0c,esports:tournament:87989628-253f-44f1-be91-2fca84dbfea4,2021-01-09 13:00:00+00:00,bestof,3,False,eSport Rhein-Neckar,0.0,Sparx Esports,2.0,2021-01-09
3544,esports:match:1ddf0bff-4ccf-4f30-ae36-0bc199a959de,esports:tournament:de25cc57-b59e-4b0d-9771-aea5d46d145b,2021-01-09 10:10:00+00:00,bestof,3,False,Ubiteam,0.0,Maestro,2.0,2021-01-09
3550,esports:match:ebd8d4a3-a134-413d-acb4-a30ef9adbbb7,esports:tournament:de25cc57-b59e-4b0d-9771-aea5d46d145b,2021-01-09 13:20:00+00:00,bestof,3,False,Exalty,0.0,Clutch Rayn Esport,2.0,2021-01-09
